Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: UseCMSCompactAtFullCollection is deprecated and will likely be removed in a future release.
log4j:WARN No appenders could be found for logger (com.alibaba.dubbo.common.logger.LoggerFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
[2017-08-23 21:37:10] Dubbo service server started!
[21:46:19] Hello world181, request from consumer: /192.168.31.210:59621
[21:46:21] Hello world182, request from consumer: /192.168.31.210:59621
[21:46:23] Hello world183, request from consumer: /192.168.31.210:59621
[21:46:25] Hello world184, request from consumer: /192.168.31.210:59621
[21:46:27] Hello world185, request from consumer: /192.168.31.210:59621
[21:46:29] Hello world186, request from consumer: /192.168.31.210:59621
[21:46:31] Hello world187, request from consumer: /192.168.31.210:59621
[21:46:33] Hello world188, request from consumer: /192.168.31.210:59621
[21:46:35] Hello world189, request from consumer: /192.168.31.210:59621
[21:46:37] Hello world190, request from consumer: /192.168.31.210:59621
[21:46:39] Hello world191, request from consumer: /192.168.31.210:59621
[21:46:41] Hello world192, request from consumer: /192.168.31.210:59621
[21:46:43] Hello world193, request from consumer: /192.168.31.210:59621
[21:46:45] Hello world194, request from consumer: /192.168.31.210:59621
[21:46:47] Hello world195, request from consumer: /192.168.31.210:59621
[21:46:49] Hello world196, request from consumer: /192.168.31.210:59621
[21:46:51] Hello world197, request from consumer: /192.168.31.210:59621
[21:46:53] Hello world198, request from consumer: /192.168.31.210:59621
[21:46:55] Hello world199, request from consumer: /192.168.31.210:59621
[21:46:57] Hello world200, request from consumer: /192.168.31.210:59621
[21:46:59] Hello world201, request from consumer: /192.168.31.210:59621
[21:47:01] Hello world202, request from consumer: /192.168.31.210:59621
[21:47:03] Hello world203, request from consumer: /192.168.31.210:59621
[21:47:05] Hello world204, request from consumer: /192.168.31.210:59621
[21:47:07] Hello world205, request from consumer: /192.168.31.210:59621
[21:47:09] Hello world206, request from consumer: /192.168.31.210:59621
[21:47:11] Hello world207, request from consumer: /192.168.31.210:59621
[21:47:13] Hello world208, request from consumer: /192.168.31.210:59621
[21:47:15] Hello world209, request from consumer: /192.168.31.210:59621
[21:47:17] Hello world210, request from consumer: /192.168.31.210:59621
[21:47:19] Hello world211, request from consumer: /192.168.31.210:59621
[21:47:21] Hello world212, request from consumer: /192.168.31.210:59621
[21:47:23] Hello world213, request from consumer: /192.168.31.210:59621
[21:47:25] Hello world214, request from consumer: /192.168.31.210:59621
[21:47:27] Hello world215, request from consumer: /192.168.31.210:59621
[21:47:29] Hello world216, request from consumer: /192.168.31.210:59621
[21:47:31] Hello world217, request from consumer: /192.168.31.210:59621
[21:47:33] Hello world218, request from consumer: /192.168.31.210:59621
[21:47:35] Hello world219, request from consumer: /192.168.31.210:59621
[21:47:37] Hello world220, request from consumer: /192.168.31.210:59621
[21:47:39] Hello world221, request from consumer: /192.168.31.210:59621
[21:47:41] Hello world222, request from consumer: /192.168.31.210:59621
[21:47:43] Hello world223, request from consumer: /192.168.31.210:59621
[21:47:45] Hello world224, request from consumer: /192.168.31.210:59621
[21:47:47] Hello world225, request from consumer: /192.168.31.210:59621
[21:47:49] Hello world226, request from consumer: /192.168.31.210:59621
[21:47:51] Hello world227, request from consumer: /192.168.31.210:59621
[21:47:53] Hello world228, request from consumer: /192.168.31.210:59621
[21:47:55] Hello world229, request from consumer: /192.168.31.210:59621
[21:47:57] Hello world230, request from consumer: /192.168.31.210:59621
[21:47:59] Hello world231, request from consumer: /192.168.31.210:59621
[21:48:01] Hello world232, request from consumer: /192.168.31.210:59621
[21:48:03] Hello world233, request from consumer: /192.168.31.210:59621
[21:48:05] Hello world234, request from consumer: /192.168.31.210:59621
[21:48:07] Hello world235, request from consumer: /192.168.31.210:59621
[21:48:09] Hello world236, request from consumer: /192.168.31.210:59621
[21:48:11] Hello world237, request from consumer: /192.168.31.210:59621
[21:48:13] Hello world238, request from consumer: /192.168.31.210:59621
[21:48:15] Hello world239, request from consumer: /192.168.31.210:59621
[21:48:17] Hello world240, request from consumer: /192.168.31.210:59621
[21:48:19] Hello world241, request from consumer: /192.168.31.210:59621
[21:48:21] Hello world242, request from consumer: /192.168.31.210:59621
[21:48:23] Hello world243, request from consumer: /192.168.31.210:59621
[21:48:25] Hello world244, request from consumer: /192.168.31.210:59621
[21:48:28] Hello world245, request from consumer: /192.168.31.210:59621
[21:48:30] Hello world246, request from consumer: /192.168.31.210:59621
[21:48:32] Hello world247, request from consumer: /192.168.31.210:59621
[21:48:34] Hello world248, request from consumer: /192.168.31.210:59621
[21:48:36] Hello world249, request from consumer: /192.168.31.210:59621
[21:48:38] Hello world250, request from consumer: /192.168.31.210:59621
[21:48:40] Hello world251, request from consumer: /192.168.31.210:59621
[21:48:42] Hello world252, request from consumer: /192.168.31.210:59621
[21:48:44] Hello world253, request from consumer: /192.168.31.210:59621
[21:48:46] Hello world254, request from consumer: /192.168.31.210:59621
[21:48:48] Hello world255, request from consumer: /192.168.31.210:59621
[21:48:50] Hello world256, request from consumer: /192.168.31.210:59621
[21:48:52] Hello world257, request from consumer: /192.168.31.210:59621
[21:48:54] Hello world258, request from consumer: /192.168.31.210:59621
[21:48:56] Hello world259, request from consumer: /192.168.31.210:59621
[21:48:58] Hello world260, request from consumer: /192.168.31.210:59621
[21:49:00] Hello world261, request from consumer: /192.168.31.210:59621
[21:49:02] Hello world262, request from consumer: /192.168.31.210:59621
[21:49:04] Hello world263, request from consumer: /192.168.31.210:59621
[21:49:06] Hello world264, request from consumer: /192.168.31.210:59621
[21:49:08] Hello world265, request from consumer: /192.168.31.210:59621
[21:49:10] Hello world266, request from consumer: /192.168.31.210:59621
[21:49:12] Hello world267, request from consumer: /192.168.31.210:59621
[21:49:14] Hello world268, request from consumer: /192.168.31.210:59621
[21:49:16] Hello world269, request from consumer: /192.168.31.210:59621
[21:49:18] Hello world270, request from consumer: /192.168.31.210:59621
[21:49:20] Hello world271, request from consumer: /192.168.31.210:59621
[21:49:22] Hello world272, request from consumer: /192.168.31.210:59621
[21:49:24] Hello world273, request from consumer: /192.168.31.210:59621
[21:49:26] Hello world274, request from consumer: /192.168.31.210:59621
[21:49:28] Hello world275, request from consumer: /192.168.31.210:59621
[21:49:30] Hello world276, request from consumer: /192.168.31.210:59621
[21:49:32] Hello world277, request from consumer: /192.168.31.210:59621
[21:49:34] Hello world278, request from consumer: /192.168.31.210:59621
[21:49:36] Hello world279, request from consumer: /192.168.31.210:59621
[21:49:38] Hello world280, request from consumer: /192.168.31.210:59621
[21:49:40] Hello world281, request from consumer: /192.168.31.210:59621
[21:49:42] Hello world282, request from consumer: /192.168.31.210:59621
[21:49:44] Hello world283, request from consumer: /192.168.31.210:59621
[21:49:46] Hello world284, request from consumer: /192.168.31.210:59621
[21:49:48] Hello world285, request from consumer: /192.168.31.210:59621
[21:49:50] Hello world286, request from consumer: /192.168.31.210:59621
[21:49:52] Hello world287, request from consumer: /192.168.31.210:59621
